"","totalmoosena","SurveyID","SurveyName","Surveyyear","ID","Intid","Stratname","Counted","GMU","AreaMi","centrlat","centrlon","YBULL_SF","YBULL_GTSF","BULL_30_40","BULL_41_50","BULL_GT_50","COW_W_0","COW_W_1","COW_W_2","CALF","UNKNOWN","totalmoose","TotalAdults","TotalCows","TotalBulls","TotalCalves","datecounted","searchmin","comments","ELEV_MEAN","prp_burn_1_30","prp_burn_31_60","prop.cov.1","prop.cov.2","prop.cov.3","prop.cov.4","prop.cov.5","prop.cov.6","prop.cov.7","prop.cov.6_7","prop.cov.8","prop.cov.9","prop.cov.10","prop.cov.11","prop.cov.12","prop.cov.13","prop.cov.14","prop.cov.15","prop.cov.99","stratfact","xcoords","ycoords"
"42",20,676,"20E TAYLOR CORRIDOR",2014,"6344-14245",NA,"LOW",1,"20E",5.902,63.75,-142.7917,2,2,1,1,3,7,2,0,0,0,20,18,9,9,2,NA,NA,NA,892.2,1,0,0.000176637,NA,NA,0.17687235,0.121467263,0.065355629,NA,0.065355629,0.300694772,0.0089496,0.20254357,0.105746585,NA,NA,0.018193594,NA,NA,"LOW",76.2714571837861,125.705411737923
"43",NA,676,"20E TAYLOR CORRIDOR",2014,"6346-14245",NA,"HIGH",0,"20E",5.895,63.7833,-142.7917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,776.2,1,0,0.023343551,NA,0.000766329,0.235380806,0.129568498,0.205788729,NA,0.205788729,0.060893657,0.001709502,0.126503183,0.211447772,NA,5.89e-05,0.004539024,NA,NA,"HIGH",76.2949692224435,129.416042771225
"44",NA,676,"20E TAYLOR CORRIDOR",2014,"6348-14245",NA,"HIGH",0,"20E",5.888,63.8167,-142.7917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,717.625,1,0,0.005841742,NA,5.9e-05,0.039121968,0.462323715,0.350858559,NA,0.350858559,0.072579218,0.002242285,0.005900749,0.056706202,NA,0.001121142,0.00188824,0.001357172,NA,"HIGH",76.318558738681,133.137834284342
"45",5,676,"20E TAYLOR CORRIDOR",2014,"6350-14245",NA,"HIGH",1,"20E",5.882,63.85,-142.7917,0,0,0,0,0,0,1,1,0,0,5,2,2,0,3,NA,NA,NA,716.2,0.999999999,0,0.003190547,NA,5.91e-05,0.006676514,0.386587888,0.424815362,NA,0.424815362,0.037518464,0.0183161,0.003072378,0.090694239,NA,0.006262925,0.00366322,0.019143279,NA,"HIGH",76.3420844699116,136.848500085105
"46",NA,676,"20E TAYLOR CORRIDOR",2014,"6352-14245",NA,"HIGH",0,"20E",5.875,63.8833,-142.7917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,733.9333,1,0,0.027509909,NA,NA,0.125303201,0.344909188,0.208187896,NA,0.208187896,0.075962847,0.008755842,0.099627285,0.107318228,0.000709933,0.000769094,0.000295805,0.000650772,NA,"HIGH",76.3656170251813,140.559183220388
"47",NA,676,"20E TAYLOR CORRIDOR",2014,"6358-14245",NA,"LOW",0,"20E",5.854,63.9833,-142.7917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1002.5333,0,0,0.188828208,0.000415529,0.001602754,0.397779888,0.107325181,0.160394159,0.002018283,0.162412442,0.065238039,0.046598599,0.011456726,0.018105188,NA,NA,0.000237445,NA,NA,"LOW",76.4363262952698,151.702479853237
"48",8,676,"20E TAYLOR CORRIDOR",2014,"6402-14245",NA,"HIGH",1,"20E",5.84,64.05,-142.7917,1,0,1,1,1,4,0,0,0,0,8,8,4,4,0,NA,NA,NA,909.7692,0.042809836,0,0.036300881,NA,0.000178529,0.587122114,0.07289931,0.127112592,0.000238039,0.127350631,0.01321114,0.016960248,0.035348726,0.10759343,NA,NA,0.003034992,NA,NA,"HIGH",76.4835234439278,159.135145329469
"49",NA,676,"20E TAYLOR CORRIDOR",2014,"6406-14245",NA,"LOW",0,"20E",5.826,64.1167,-142.7917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,887.6875,0.875167262,0,0.051422776,NA,0.000298276,0.432798425,0.17759351,0.095865895,NA,0.095865895,0.045755533,0.044085188,0.024995526,0.126946251,NA,0.00011931,0.00011931,NA,NA,"LOW",76.5307477782227,166.567879978425
"50",NA,676,"20E TAYLOR CORRIDOR",2014,"6408-14245",NA,"HIGH",0,"20E",5.819,64.15,-142.7917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1023.6429,0.036462078,0,0.074350552,NA,0.00173186,0.535204539,0.186981188,0.052314124,0.000179158,0.052493282,0.023230815,0.026515378,0.005613616,0.091370558,NA,5.97e-05,0.002448492,NA,NA,"HIGH",76.5543346990166,170.278701386656
"51",6,676,"20E TAYLOR CORRIDOR",2014,"6410-14245",NA,"HIGH",1,"20E",5.812,64.1833,-142.7917,0,0,1,1,2,0,1,0,0,0,6,5,1,4,1,NA,NA,NA,1096.4667,0,0,0.035156951,NA,0.001674141,0.379970105,0.165500747,0.085799701,0.003168909,0.08896861,0.096083707,0.089506726,0.026786248,0.092735426,NA,NA,0.023617339,NA,NA,"HIGH",76.577928371825,173.989539989364
"52",NA,676,"20E TAYLOR CORRIDOR",2014,"6342-14240",NA,"HIGH",0,"20E",5.909,63.7167,-142.7083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,708.1334,0.419847804,0,0.047101023,NA,0.000235211,0.355521581,0.039339057,0.215276961,NA,0.215276961,0.049453134,0.001881689,0.118075973,0.172350935,0.000470422,NA,0.000294014,NA,NA,"HIGH",80.3685954075208,121.971388352877
"53",NA,676,"20E TAYLOR CORRIDOR",2014,"6346-14240",NA,"HIGH",0,"20E",5.895,63.7833,-142.7083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,847.375,1,0,0.011964401,NA,0.000117876,0.126952319,0.081805858,0.141333176,NA,0.141333176,0.277126186,0.004125656,0.217893558,0.126304002,NA,NA,0.012376967,NA,NA,"HIGH",80.4059240797046,129.392674688879
"54",NA,676,"20E TAYLOR CORRIDOR",2014,"6352-14240",NA,"HIGH",0,"20E",5.875,63.8833,-142.7083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,745.25,1,0,0.000828255,NA,NA,0.11879548,0.138614447,0.22676448,0.000118322,0.226882802,0.103709401,0.003313021,0.254925161,0.15174821,0.000946578,NA,0.000236644,NA,NA,"HIGH",80.4620139166353,140.535877913669
"55",NA,676,"20E TAYLOR CORRIDOR",2014,"6404-14240",NA,"LOW",0,"20E",5.833,64.0833,-142.7083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,868.75,0.697929833,0,0.051468398,NA,5.96e-05,0.351581581,0.132721749,0.143086912,NA,0.143086912,0.053791624,0.011735271,0.030321082,0.225055102,NA,NA,0.00017871,NA,NA,"LOW",80.5743398264533,162.822753348388
"56",NA,676,"20E TAYLOR CORRIDOR",2014,"6406-14240",NA,"HIGH",0,"20E",5.826,64.1167,-142.7083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1102.4,0.209570459,0,0.005368647,NA,0.000178955,0.263779528,0.254414221,0.139704128,0.000835123,0.140539251,0.080708661,0.075041756,0.039250775,0.129623002,NA,NA,0.011095204,NA,NA,"HIGH",80.5931171788102,166.544722296948
